Epoch,Validation Loss,F1,Precision,Recall,Accuracy
1.0,1.7897746562957764,0.15929203539823006,0.13636363636363635,0.19148936170212766,0.6092619392185239
2.0,1.1885329484939575,0.4431818181818182,0.47560975609756095,0.4148936170212766,0.7351664254703328
3.0,0.7999782562255859,0.5454545454545454,0.5483870967741935,0.5425531914893617,0.804630969609262
4.0,0.5836682319641113,0.6630434782608696,0.6777777777777778,0.648936170212766,0.8437047756874095
5.0,0.4328412413597107,0.7391304347826088,0.7555555555555555,0.723404255319149,0.8900144717800289
6.0,0.316587895154953,0.7407407407407407,0.7368421052631579,0.7446808510638298,0.9131693198263386
7.0,0.2487284392118454,0.8102564102564104,0.7821782178217822,0.8404255319148937,0.9334298118668596
8.0,0.20233914256095886,0.8041237113402062,0.78,0.8297872340425532,0.9363241678726484
9.0,0.1869036853313446,0.8082901554404145,0.7878787878787878,0.8297872340425532,0.9421128798842258
10.0,0.18151675164699554,0.8041237113402062,0.78,0.8297872340425532,0.9435600578871202
11.0,0.14301207661628723,0.8290155440414508,0.8080808080808081,0.851063829787234,0.9551374819102749
12.0,0.1545569747686386,0.8080808080808081,0.7692307692307693,0.851063829787234,0.9580318379160637
13.0,0.1269947588443756,0.8541666666666667,0.8367346938775511,0.8723404255319149,0.9623733719247467
14.0,0.11116649210453033,0.8691099476439791,0.8556701030927835,0.8829787234042553,0.9696092619392185
15.0,0.12807661294937134,0.8820512820512821,0.8514851485148515,0.9148936170212766,0.9536903039073806
16.0,0.1278712898492813,0.8911917098445595,0.8686868686868687,0.9148936170212766,0.9667149059334298
17.0,0.12997494637966156,0.8556701030927835,0.83,0.8829787234042553,0.9609261939218524
18.0,0.1368395984172821,0.8615384615384615,0.8316831683168316,0.8936170212765957,0.9681620839363242
19.0,0.1125870794057846,0.8571428571428571,0.8235294117647058,0.8936170212765957,0.9652677279305355
20.0,0.11826503276824951,0.8808290155440415,0.8585858585858586,0.9042553191489362,0.9696092619392185
21.0,0.1179232969880104,0.8947368421052632,0.8854166666666666,0.9042553191489362,0.9696092619392185
22.0,0.12675520777702332,0.8631578947368421,0.8541666666666666,0.8723404255319149,0.9667149059334298
23.0,0.08300834149122238,0.8958333333333333,0.8775510204081632,0.9148936170212766,0.975397973950796
24.0,0.11356610804796219,0.8704663212435233,0.8484848484848485,0.8936170212765957,0.9667149059334298
25.0,0.1482289433479309,0.8704663212435233,0.8484848484848485,0.8936170212765957,0.9681620839363242
26.0,0.1608561873435974,0.8854166666666667,0.8673469387755102,0.9042553191489362,0.959479015918958
27.0,0.1647270768880844,0.8958333333333333,0.8775510204081632,0.9148936170212766,0.9710564399421129
28.0,0.18823553621768951,0.8691099476439791,0.8556701030927835,0.8829787234042553,0.9667149059334298
29.0,0.20344392955303192,0.8888888888888888,0.8842105263157894,0.8936170212765957,0.9652677279305355
30.0,0.21944092214107513,0.846938775510204,0.8137254901960784,0.8829787234042553,0.9609261939218524
31.0,0.21703194081783295,0.8484848484848485,0.8076923076923077,0.8936170212765957,0.9638205499276411
32.0,0.1919110119342804,0.841025641025641,0.8118811881188119,0.8723404255319149,0.9623733719247467
33.0,0.2111215591430664,0.8629441624365481,0.8252427184466019,0.9042553191489362,0.9638205499276411
34.0,0.19809924066066742,0.8820512820512821,0.8514851485148515,0.9148936170212766,0.9638205499276411
35.0,0.19203615188598633,0.8820512820512821,0.8514851485148515,0.9148936170212766,0.9623733719247467
36.0,0.18113206326961517,0.8865979381443299,0.86,0.9148936170212766,0.959479015918958
37.0,0.19299830496311188,0.8820512820512821,0.8514851485148515,0.9148936170212766,0.959479015918958
38.0,0.14117389917373657,0.8673469387755102,0.8333333333333334,0.9042553191489362,0.9609261939218524
39.0,0.14930075407028198,0.900523560209424,0.8865979381443299,0.9148936170212766,0.9710564399421129
40.0,0.17390155792236328,0.8911917098445595,0.8686868686868687,0.9148936170212766,0.9681620839363242
41.0,0.19256404042243958,0.9109947643979057,0.8969072164948454,0.925531914893617,0.9623733719247467
42.0,0.21977731585502625,0.9109947643979057,0.8969072164948454,0.925531914893617,0.9652677279305355
43.0,0.21892103552818298,0.900523560209424,0.8865979381443299,0.9148936170212766,0.9609261939218524
44.0,0.24501825869083405,0.9042553191489362,0.9042553191489362,0.9042553191489362,0.9623733719247467
45.0,0.2579658627510071,0.8947368421052632,0.8854166666666666,0.9042553191489362,0.9638205499276411
46.0,0.2459128201007843,0.9109947643979057,0.8969072164948454,0.925531914893617,0.9652677279305355
47.0,0.2634473145008087,0.8900523560209425,0.8762886597938144,0.9042553191489362,0.9580318379160637
48.0,0.24010388553142548,0.8994708994708994,0.8947368421052632,0.9042553191489362,0.9638205499276411
49.0,0.21072152256965637,0.8888888888888888,0.8842105263157894,0.8936170212765957,0.9667149059334298
50.0,0.22119006514549255,0.8854166666666667,0.8673469387755102,0.9042553191489362,0.9652677279305355
51.0,0.23334762454032898,0.8854166666666667,0.8673469387755102,0.9042553191489362,0.9667149059334298
52.0,0.23212330043315887,0.9052631578947369,0.8958333333333334,0.9148936170212766,0.9725036179450073
53.0,0.2639641761779785,0.8854166666666667,0.8673469387755102,0.9042553191489362,0.9696092619392185
54.0,0.261364221572876,0.8865979381443299,0.86,0.9148936170212766,0.9696092619392185
55.0,0.2153109610080719,0.9206349206349206,0.9157894736842105,0.925531914893617,0.9782923299565847
56.0,0.2103375643491745,0.9361702127659575,0.9361702127659575,0.9361702127659575,0.9797395079594791
57.0,0.21745705604553223,0.9090909090909091,0.9139784946236559,0.9042553191489362,0.975397973950796
58.0,0.2380504310131073,0.8888888888888888,0.8842105263157894,0.8936170212765957,0.9710564399421129
59.0,0.25067445635795593,0.8842105263157894,0.875,0.8936170212765957,0.9696092619392185
60.0,0.2559347450733185,0.8854166666666667,0.8673469387755102,0.9042553191489362,0.9696092619392185
61.0,0.2528729736804962,0.8854166666666667,0.8673469387755102,0.9042553191489362,0.9710564399421129
62.0,0.24858926236629486,0.8854166666666667,0.8673469387755102,0.9042553191489362,0.9710564399421129
63.0,0.239577978849411,0.9166666666666666,0.8979591836734694,0.9361702127659575,0.975397973950796
64.0,0.23887841403484344,0.9166666666666666,0.8979591836734694,0.9361702127659575,0.975397973950796
65.0,0.25008150935173035,0.8820512820512821,0.8514851485148515,0.9148936170212766,0.9667149059334298
66.0,0.26179859042167664,0.8911917098445595,0.8686868686868687,0.9148936170212766,0.9652677279305355
67.0,0.25210005044937134,0.8865979381443299,0.86,0.9148936170212766,0.9652677279305355
68.0,0.24345938861370087,0.8900523560209425,0.8762886597938144,0.9042553191489362,0.9652677279305355
69.0,0.2562808692455292,0.8900523560209425,0.8762886597938144,0.9042553191489362,0.9696092619392185
70.0,0.26305195689201355,0.8900523560209425,0.8762886597938144,0.9042553191489362,0.9696092619392185
71.0,0.23836542665958405,0.9052631578947369,0.8958333333333334,0.9148936170212766,0.9725036179450073
72.0,0.21705196797847748,0.9052631578947369,0.8958333333333334,0.9148936170212766,0.9725036179450073
73.0,0.2201206386089325,0.9052631578947369,0.8958333333333334,0.9148936170212766,0.9710564399421129
74.0,0.241378054022789,0.9263157894736843,0.9166666666666666,0.9361702127659575,0.9710564399421129
75.0,0.24983881413936615,0.9109947643979057,0.8969072164948454,0.925531914893617,0.9696092619392185
76.0,0.255203515291214,0.9109947643979057,0.8969072164948454,0.925531914893617,0.9681620839363242
